1,0.1015708,0.0383252,0.0182639,0.012547
1,0.0830132,0.0220894,0.0120337,0.0139734
2,0.0920101,0.0366001,0.1092657,0.0143241
2,0.0790495,0.02517,0.0166944,0.0143923
3,0.0947373,0.0386994,0.0572016,0.0154194
3,0.0808429,0.0282232,0.0174999,0.0145285
4,0.0907449,0.0385118,0.0843605,0.0155092
4,0.0800521,0.0282966,0.0179512,0.0139663
5,0.0919792,0.0399539,0.0581036,0.0196068
5,0.0800636,0.0275352,0.018416,0.0155892
6,0.0918552,0.0379521,0.0711506,0.0163785
6,0.1039841,0.025765,0.0228897,0.0150005
7,0.1188273,0.0740895,0.0622611,0.0154656
7,0.0860075,0.0309855,0.0164529,0.0162551
8,0.0966557,0.0401815,0.0601971,0.0165231
8,0.0889473,0.0303493,0.0154041,0.0150009
9,0.0909904,0.040064,0.0603838,0.0164161
9,0.0906904,0.0298187,0.0151008,0.0159975
10,0.104956,0.0392705,0.1251,0.0166553
10,0.0869355,0.0318576,0.0160743,0.0160294
20,0.1098373,0.0463195,0.1532594,0.0255191
20,0.0991715,0.0367319,0.0191583,0.0218108
30,0.1338601,0.0497722,0.1357686,0.0337363
30,0.1248678,0.0453235,0.0249522,0.0271536
40,0.1899488,0.0601182,0.0950051,0.030381
40,0.1459369,0.0386947,0.0281097,0.0359012
50,0.3930196,0.0669805,0.1441966,0.0364453
50,0.2370403,0.0466872,0.0349886,0.0788892
60,0.4075479,0.0667753,0.2080256,0.0426818
60,0.17402,0.0470435,0.0409205,0.0430169
70,0.3019592,0.0694225,0.1624994,0.0503232
70,0.2028989,0.0965244,0.0438843,0.0449554
80,0.3339474,0.0767402,0.1473416,0.3023245
80,0.2200055,0.0594311,0.0479291,0.048984
90,0.3278654,0.0883952,0.2976326,0.0576805
90,0.236855,0.0657616,0.0508418,0.0569136
100,0.2700807,0.0833237,0.2280658,0.0576872
100,0.2729256,0.0731208,0.1056206,0.0572699
200,0.5488657,0.265937,2.2162571,0.1939546
200,0.5771192,0.1834492,0.1834837,0.1830827
300,0.7523486,0.2307856,0.913962,0.2360351
300,0.8160135,0.2134496,0.230744,0.237032
400,0.9890173,0.3074153,0.9057118,0.3400101
400,1.14806,0.3006041,0.3364723,0.7261039
500,1.1450467,0.4538386,3.3604235,0.321387
500,1.1330171,0.2328202,0.2933307,0.4060351
600,1.2929271,0.3577467,0.7923118,0.4011377
600,1.7130642,0.2666129,0.3724592,0.3850102
700,1.9060764,0.325736,3.0074818,0.4719986
700,1.8580876,0.314218,0.4449959,0.4708062
800,2.2558149,0.368789,3.2357184,0.5427189
800,2.1500622,0.3545318,0.5336437,0.5278639
900,2.4209579,0.5369338,1.2551316,0.6031138
900,2.4170532,0.389116,0.6589402,0.6060852
1000,2.2610833,0.7360801,3.5283881,0.6957502
1000,2.0479695,0.5008637,0.7102877,0.6450274
2000,4.291262,1.2029417,7.8797819,1.8329363
2000,4.2780665,0.9620819,1.6184647,1.3458832
3000,6.6904174,1.7983856,8.0222174,2.0320344
3000,6.2152524,1.8496129,2.0931728,2.0027638
4000,8.5060806,2.2390099,2.9403697,2.66303
4000,8.4543124,2.0674327,2.8340717,2.7620507
5000,10.25764,2.7879011,9.9086267,3.5141842
5000,10.0944728,2.4531732,3.3902053,3.2701918
6000,12.211568,3.2652907,10.3216349,4.0312331
6000,12.4815855,3.0478618,4.2325818,4.0253263
